Startup,Product,Funding,Event,Result,OperatingState
2600Hz,2600hz.com,,Disrupt SF 2013,Contestant,Operating
3DLT,3dlt.com,$630K,Disrupt NYC 2013,Contestant,Closed
3DPrinterOS,3dprinteros.com,,Disrupt SF 2016,Contestant,Operating
3Dprintler,3dprintler.com,$1M,Disrupt NY 2016,Audience choice,Operating
42 Technologies,42technologies.com,,Disrupt NYC 2013,Contestant,Operating
5to1,5to1.com,$19.3M,TC50 2009,Contestant,Acquired
8 Securities,8securities.com,$29M,Disrupt Beijing 2011,Finalist,Operating
8020 Media,8020media.com,,TC40 2007,Contestant,Operating
About Last Night,aboutlastnight.net,,Disrupt NYC 2012,Contestant,Operating
Adgregate Markets,adgregate.com,,TC50 2008,Contestant,Operating
AdhereTech,adheretech.com,$1.8M,Hardware Battlefield 2014,Contestant,Operating
AdRocket,adrocket.com,$1M,TC50 2008,Contestant,Closed
Affective Interfaces,affectiveinterfaces.com,,TC50 2009,Contestant,Operating
Agrilyst,agrilyst.com,$1M,Disrupt SF 2015,Winner,Operating
Aiden,aiden.ai,$750K,Disrupt London 2016,Contestant,Operating
AirBoxLab,foobot.io,$17.9K,Hardware Battlefield 2014,Contestant,Operating
Aircall,aircall.io,$11.6M,Disrupt SF 2015,Contestant,Operating
AirDroids,airdroids.com,$929.2K,Hardware Battlefield 2014,Contestant,Closed
AirHelp,airhelp.com,$12.2M,Disrupt NYC 2014,Contestant,Operating
AirWander,airwander.com,,Disrupt London 2016,Contestant,Operating
Akoha,akoha.com,$1.9M,TC50 2008,Contestant,Closed
Alfabetic,alfabetic.com,,TC50 2008,Contestant,Acquired
Alicanto,alicanto.com,$4M,Disrupt SF 2012,Contestant,Operating
Allre,allre.com,,Disrupt SF 2014,Contestant,Acquired
Alpha Outlook,alphaoutlook.com,,Disrupt Beijing 2011,Contestant,Operating
Altwork,altwork.com,,Disrupt SF 2016,Audience choice,Operating
Amaryllis Nucleics,amaryllisnucleics.com,,Disrupt SF 2016,Contestant,Operating
Amen.,getamen.com,$3M,Disrupt SF 2011,Contestant,Acquired
Angstro,angst.ro,$225K,TC50 2008,Contestant,Acquired
Anquanbao,anquanbao.com,,Disrupt Beijing 2011,Runner up,Acquired
Ansa,ansa.com,,Disrupt SF 2013,Contestant,Operating
Anyclip,anyclip.com,$24M,TC50 2009,Finalist,Operating
App2you,app2you.com,$746K,TC40 2007,Contestant,Operating
AppArchitect,apparchitect.com,,Disrupt NYC 2013,Contestant,Acquired
Appbistro,appbistro.com,$600K,Disrupt NYC 2010,Contestant,Closed
AppChina,appchina.com,$7.1M,Disrupt Beijing 2011,Contestant,Operating
Arctuition,arcsiteapp.com,,Disrupt NY 2015,Contestant,Operating
Ark,ark.com,$4.5M,Disrupt NYC 2012,Finalist,Operating
Arrived,GetArrived.com,,Disrupt NYC 2011,Contestant,Operating
Artomatix,artomatix.com,,Disrupt SF 2015,Contestant,Operating
Artsy,artsy.net,$50.9M,Disrupt NYC 2010,Contestant,Operating
"Artveoli, Inc.",artveoli.com,,Disrupt NY 2016,Contestant,Operating
asap54.com,asap54.com,$8.3M,Disrupt EU 2013,Runner up,Operating
Athla,athla.com,,Disrupt SF 2014,Contestant,Operating
Atlas Wearables,atlaswearables.com,$4M,Hardware Battlefield 2014,Finalist,Operating
Audioo,audioo.com,,Disrupt NYC 2010,Contestant,Acquired
Ava,avawomen.com,$12.3M,Disrupt SF 2015,Contestant,Operating
Avado,avado.com,$1M,Disrupt NYC 2011,Contestant,Acquired
Babelverse,babelverse.com,$190K,Disrupt NYC 2012,Audience choice,Closed
Badgeville,badgeville.com,$40M,Disrupt SF 2010,Finalist,Acquired
Bark Technologies,bark.us,,Disrupt NY 2016,Finalist,Operating
Beam,beam.pro,$520K,Disrupt NY 2016,Winner,Acquired
Beartooth,beartooth.com,$2.9M,Disrupt SF 2014,Contestant,Operating
Beestar,beestar.eu,$320K,Disrupt SF 2013,Contestant,Operating
BeFunky,befunky.com,$1.7M,TC40 2007,Contestant,Operating
Behold.ai,behold.ai,$20K,Disrupt NY 2016,Contestant,Operating
Betterment,betterment.com,$205M,Disrupt NYC 2010,Finalist,Operating
Bidzy,bidzy.com,,Disrupt NYC 2013,Contestant,Closed
BillGuard,billguard.com,$16.5M,Disrupt NYC 2011,Runner up,Acquired
BioBots,biobots.io,$2.8M,Disrupt NY 2015,Finalist,Operating
Birch,birchfinance.com,$125K,Disrupt NY 2016,Contestant,Operating
Birdpost,birdpost.com,$350K,TC50 2008,Contestant,Operating
Bitcasa,bitcasa.com,$20.8M,Disrupt SF 2011,Finalist,Closed
Bitcovery,bitcovery.com,$675K,Disrupt SF 2013,Contestant,Operating
BitFusion.io,bitfusion.io,$6.5M,Disrupt NY 2015,Finalist,Operating
Blaze,blaze.cc,$2M,Hardware Battlefield 2014,Finalist,Operating
BlazingDB,blazingdb.com,$118K,Disrupt SF 2016,Finalist,Operating
BLITAB Technology,blitab.com,,-,Contestant,Operating
Bloomlife,bloomlife.com,$4M,-,Runner up,Operating
Bojam,bojam.com,,TC50 2008,Contestant,Closed
Boomerang Commerce,boomerangcommerce.com,$20.5M,Disrupt NYC 2014,Finalist,Operating
Botify,botify.com,$7.2M,Disrupt NY 2016,Contestant,Operating
BRANDiD - Shop. Like a Man.,brandid.com,$2.3M,Disrupt SF 2013,Contestant,Operating
Branto Inc.,branto.co,$212K,Hardware Battlefield 2015,Contestant,Operating
Bravo Tip or Pay,trybravo.com,,Disrupt SF 2015,Audience choice,Operating
Breakthrough Partners,breakthroughpartners.org,,TC50 2009,Contestant,Operating
Breezeworks,breezeworks.com,$7M,Disrupt SF 2013,Contestant,Operating
