customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No
